Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
17,tt5675620,2025-08-01,2025-08-01,,"The Punisher","The Punisher",https://www.imdb.com/title/tt5675620/,TV Series,8.4,60,2017,"Action, Crime, Drama, Thriller",289733,2017-11-17,,,
18,tt5515212,2025-08-01,2025-08-01,,"Big Hero 6: The Series","Big Hero 6: The Series",https://www.imdb.com/title/tt5515212/,TV Series,7.2,21,2017,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",2922,2017-11-20,,,
19,tt1236246,2025-08-01,2025-08-01,,"Runaways","Runaways",https://www.imdb.com/title/tt1236246/,TV Series,6.8,60,2017,"Action, Drama, Sci-Fi",29648,2017-11-21,,,
20,tt5614844,2025-08-01,2025-08-01,,"Cloak & Dagger","Cloak & Dagger",https://www.imdb.com/title/tt5614844/,TV Series,6.6,44,2018,"Action, Adventure, Drama, Sci-Fi",23699,2018-06-07,,,
21,tt10266874,2025-08-01,2025-08-01,,"Helstrom","Helstrom",https://www.imdb.com/title/tt10266874/,TV Series,6.7,50,2020,"Action, Adventure, Drama, Fantasy, Horror",10808,2020-10-16,,,
22,tt9140560,2025-08-01,2025-08-01,,"WandaVision","WandaVision",https://www.imdb.com/title/tt9140560/,TV Mini Series,7.9,40,2021,"Action, Comedy, Fantasy, Mystery, Sci-Fi",402639,2021-01-15,,,
23,tt9208876,2025-08-01,2025-08-01,,"The Falcon and the Winter Soldier","The Falcon and the Winter Soldier",https://www.imdb.com/title/tt9208876/,TV Mini Series,7.1,50,2021,"Action, Adventure, Sci-Fi",272070,2021-03-19,,,
24,tt9140554,2025-08-01,2025-08-01,,"Loki","Loki",https://www.imdb.com/title/tt9140554/,TV Series,8.2,50,2021,"Action, Adventure, Fantasy, Sci-Fi",453465,2021-06-09,,,
25,tt10168312,2025-08-01,2025-08-01,,"What If...?","What If...?",https://www.imdb.com/title/tt10168312/,TV Series,7.3,32,2021,"Animation, Action, Adventure, Sci-Fi",155917,2021-08-11,,,
26,tt9811316,2025-08-01,2025-08-01,,"Hit-Monkey","Hit-Monkey",https://www.imdb.com/title/tt9811316/,TV Series,7.7,22,2021,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",10648,2021-11-17,,,
27,tt10160804,2025-08-01,2025-08-01,,"Hawkeye","Hawkeye",https://www.imdb.com/title/tt10160804/,TV Mini Series,7.4,60,2021,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",234480,2021-11-24,,,
28,tt10234724,2025-08-01,2025-08-01,,"Moon Knight","Moon Knight",https://www.imdb.com/title/tt10234724/,TV Mini Series,7.3,50,2022,"Action, Adventure, Fantasy",298243,2022-03-30,,,
29,tt10857164,2025-08-01,2025-08-01,,"Ms. Marvel","Ms. Marvel",https://www.imdb.com/title/tt10857164/,TV Mini Series,6.2,50,2022,"Action, Adventure, Comedy, Crime, Family, Fantasy, Mystery, Sci-Fi",127869,2022-06-08,,,
30,tt13622958,2025-08-01,2025-08-01,,"Baymax!","Baymax!",https://www.imdb.com/title/tt13622958/,TV Mini Series,7.2,12,2022,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",9284,2022-06-29,,,
31,tt13623148,2025-08-01,2025-08-01,,"I Am Groot","I Am Groot",https://www.imdb.com/title/tt13623148/,TV Series,6.7,4,2022,"Animation, Short, Action, Adventure, Comedy, Fantasy, Sci-Fi",44281,2022-08-10,,,
32,tt10857160,2025-08-01,2025-08-01,,"She-Hulk: Attorney at Law","She-Hulk: Attorney at Law",https://www.imdb.com/title/tt10857160/,TV Mini Series,5.2,35,2022,"Action, Adventure, Comedy, Sci-Fi",203703,2022-08-18,,,
33,tt13157618,2025-08-01,2025-08-01,,"Secret Invasion","Secret Invasion",https://www.imdb.com/title/tt13157618/,TV Mini Series,5.8,45,2023,"Action, Adventure, Mystery, Sci-Fi, Thriller",86689,2023-06-21,,,
34,tt13966962,2025-08-01,2025-08-01,,"Echo","Echo",https://www.imdb.com/title/tt13966962/,TV Mini Series,5.9,45,2023,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",46437,2024-01-09,,,
35,tt16026746,2025-08-01,2025-08-01,,"X-Men '97","X-Men '97",https://www.imdb.com/title/tt16026746/,TV Series,8.7,22,2024,"Animation, Action, Adventure, Fantasy, Sci-Fi",47275,2024-03-20,,,
36,tt15571732,2025-08-01,2025-08-01,,"Agatha All Along","Agatha All Along",https://www.imdb.com/title/tt15571732/,TV Mini Series,7.2,40,2024,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",81575,2024-09-18,,,
37,tt16027074,2025-08-01,2025-08-01,,"Your Friendly Neighborhood Spider-Man","Your Friendly Neighborhood Spider-Man",https://www.imdb.com/title/tt16027074/,TV Series,7.5,33,2025,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",15672,2025-01-29,,,
38,tt18923754,2025-08-01,2025-08-01,,"Daredevil: Born Again","Daredevil: Born Again",https://www.imdb.com/title/tt18923754/,TV Series,8.1,60,2025,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",75817,2025-03-04,,,
39,tt13623126,2025-08-01,2025-08-01,,"Ironheart","Ironheart",https://www.imdb.com/title/tt13623126/,TV Mini Series,4.4,50,2025,"Action, Adventure, Fantasy, Sci-Fi",58426,2025-06-24,,,
